order_item_id,order_id,product_id,quantity,unit_price,line_total
ORD0001-1,ORD0001,P908,1,5.25,5.25
ORD0001-2,ORD0001,P3575,2,3.63,7.26
ORD0001-3,ORD0001,P949,1,4.29,4.29
ORD0001-4,ORD0001,P1628,1,6.56,6.56
ORD0001-5,ORD0001,P2734,1,5.65,5.65
ORD0001-6,ORD0001,P1983,1,7.94,7.94
ORD0001-7,ORD0001,P4130,1,6.81,6.81
ORD0001-8,ORD0001,P609,4,4.93,19.72
ORD0001-9,ORD0001,P668,3,2.79,8.37
ORD0001-10,ORD0001,P1917,1,5.42,5.42
ORD0001-11,ORD0001,P427,6,1.07,6.42
ORD0001-12,ORD0001,P2129,1,4.81,4.81
ORD0002-1,ORD0002,P1729,1,6.10,6.10
ORD0002-2,ORD0002,P3138,2,1.73,3.46
ORD0002-3,ORD0002,P1905,1,5.17,5.17
ORD0002-4,ORD0002,P3205,1,5.60,5.60
ORD0002-5,ORD0002,P918,2,3.52,7.04
ORD0002-6,ORD0002,P3476,1,3.80,3.80
ORD0002-7,ORD0002,P1277,1,7.04,7.04
ORD0002-8,ORD0002,P132,3,2.49,7.47
ORD0002-9,ORD0002,P404,6,1.25,7.50
ORD0002-10,ORD0002,P3386,1,8.68,8.68
ORD0002-11,ORD0002,P3765,1,10.26,10.26
ORD0002-12,ORD0002,P1259,1,6.85,6.85
ORD0002-13,ORD0002,P2488,1,9.58,9.58
ORD0003-1,ORD0003,P3869,2,7.08,14.16
ORD0003-2,ORD0003,P055,3,3.05,9.15
ORD0003-3,ORD0003,P4216,2,5.89,11.78
ORD0003-4,ORD0003,P3717,1,4.28,4.28
ORD0003-5,ORD0003,P3364,2,2.59,5.18
ORD0003-6,ORD0003,P4050,2,9.11,18.22
ORD0003-7,ORD0003,P816,5,4.26,21.30
ORD0003-8,ORD0003,P2463,1,13.69,13.69
ORD0003-9,ORD0003,P2794,1,5.26,5.26
ORD0003-10,ORD0003,P3083,1,5.55,5.55
ORD0003-11,ORD0003,P2860,2,4.74,9.48
ORD0003-12,ORD0003,P2078,1,5.23,5.23
ORD0003-13,ORD0003,P4987,2,9.51,19.02
ORD0003-14,ORD0003,P801,4,1.66,6.64
ORD0003-15,ORD0003,P485,4,1.78,7.12
ORD0003-16,ORD0003,P2922,3,1.66,4.98
ORD0004-1,ORD0004,P3611,1,8.39,8.39
ORD0004-2,ORD0004,P3941,2,4.97,9.94
ORD0004-3,ORD0004,P2753,1,6.78,6.78
ORD0004-4,ORD0004,P2977,2,2.16,4.32
ORD0004-5,ORD0004,P1365,3,1.05,3.15
ORD0004-6,ORD0004,P120,4,2.90,11.60
ORD0004-7,ORD0004,P4585,3,4.22,12.66
ORD0004-8,ORD0004,P3008,2,9.41,18.82
ORD0004-9,ORD0004,P4241,2,6.39,12.78
ORD0005-1,ORD0005,P391,4,1.43,5.72
ORD0005-2,ORD0005,P964,2,3.64,7.28
ORD0005-3,ORD0005,P1645,1,5.39,5.39
ORD0005-4,ORD0005,P1967,2,2.81,5.62
ORD0005-5,ORD0005,P1595,2,1.26,2.52
ORD0005-6,ORD0005,P2795,1,4.20,4.20
ORD0005-7,ORD0005,P2011,1,5.09,5.09
ORD0005-8,ORD0005,P2531,1,8.13,8.13
ORD0005-9,ORD0005,P2727,2,4.09,8.18
ORD0005-10,ORD0005,P3279,1,11.53,11.53
ORD0005-11,ORD0005,P4978,3,7.35,22.05
ORD0006-1,ORD0006,P2841,1,8.03,8.03
ORD0006-2,ORD0006,P1885,3,1.56,4.68
ORD0006-3,ORD0006,P1587,1,4.05,4.05
ORD0006-4,ORD0006,P538,4,2.62,10.48
ORD0006-5,ORD0006,P2318,1,12.55,12.55
ORD0006-6,ORD0006,P3698,2,2.35,4.70
ORD0006-7,ORD0006,P132,5,2.49,12.45
ORD0006-8,ORD0006,P1187,2,4.38,8.76
ORD0006-9,ORD0006,P2726,2,2.73,5.46
ORD0006-10,ORD0006,P2145,1,6.44,6.44
ORD0006-11,ORD0006,P3759,2,1.57,3.14
ORD0006-12,ORD0006,P3831,1,6.41,6.41
ORD0007-1,ORD0007,P1407,3,1.03,3.09
ORD0007-2,ORD0007,P3422,3,5.06,15.18
ORD0007-3,ORD0007,P4671,1,9.24,9.24
ORD0007-4,ORD0007,P1335,1,4.40,4.40
ORD0007-5,ORD0007,P773,1,5.77,5.77
ORD0007-6,ORD0007,P3389,2,3.19,6.38
ORD0007-7,ORD0007,P3457,3,1.19,3.57
ORD0007-8,ORD0007,P3013,1,8.39,8.39
ORD0007-9,ORD0007,P4984,1,6.60,6.60
ORD0007-10,ORD0007,P614,4,5.49,21.96
ORD0007-11,ORD0007,P4744,2,2.12,4.24
ORD0008-1,ORD0008,P1453,1,3.26,3.26
ORD0008-2,ORD0008,P3673,1,13.16,13.16
ORD0008-3,ORD0008,P1701,1,4.16,4.16
ORD0008-4,ORD0008,P2314,1,10.30,10.30
ORD0008-5,ORD0008,P3905,1,13.48,13.48
ORD0008-6,ORD0008,P477,2,1.07,2.14
ORD0008-7,ORD0008,P2070,1,4.85,4.85
ORD0008-8,ORD0008,P2321,1,14.60,14.60
ORD0008-9,ORD0008,P4251,1,6.32,6.32
ORD0008-10,ORD0008,P3211,1,1.12,1.12
ORD0008-11,ORD0008,P4119,1,1.56,1.56
ORD0008-12,ORD0008,P4028,1,8.15,8.15
ORD0008-13,ORD0008,P4601,1,8.53,8.53
ORD0008-14,ORD0008,P4596,1,8.56,8.56
ORD0008-15,ORD0008,P242,1,1.40,1.40
ORD0008-16,ORD0008,P002,1,3.74,3.74
ORD0008-17,ORD0008,P2207,1,19.89,19.89
ORD0008-18,ORD0008,P774,1,4.82,4.82
ORD0008-19,ORD0008,P2435,1,5.41,5.41
ORD0008-20,ORD0008,P2218,1,14.05,14.05
ORD0008-21,ORD0008,P2820,1,9.79,9.79
ORD0008-22,ORD0008,P2933,1,7.86,7.86
ORD0008-23,ORD0008,P868,1,2.54,2.54
ORD0009-1,ORD0009,P1794,2,2.88,5.76
ORD0009-2,ORD0009,P2624,2,2.72,5.44
ORD0009-3,ORD0009,P030,2,1.00,2.00
ORD0009-4,ORD0009,P3178,1,3.39,3.39
ORD0009-5,ORD0009,P822,4,2.43,9.72
ORD0009-6,ORD0009,P3681,3,1.91,5.73
ORD0009-7,ORD0009,P3097,1,6.48,6.48
ORD0010-1,ORD0010,P3490,1,8.96,8.96
ORD0010-2,ORD0010,P4120,3,3.53,10.59
ORD0010-3,ORD0010,P551,2,3.52,7.04
ORD0010-4,ORD0010,P743,3,2.13,6.39
ORD0010-5,ORD0010,P651,4,1.59,6.36
ORD0010-6,ORD0010,P4688,1,7.52,7.52
ORD0010-7,ORD0010,P2354,1,10.19,10.19
ORD0010-8,ORD0010,P2261,1,13.48,13.48
ORD0010-9,ORD0010,P1906,2,2.80,5.60
ORD0010-10,ORD0010,P3129,1,11.09,11.09
ORD0010-11,ORD0010,P4750,1,11.48,11.48
ORD0010-12,ORD0010,P4440,1,6.80,6.80
ORD0010-13,ORD0010,P4901,1,8.99,8.99
ORD0010-14,ORD0010,P514,2,4.70,9.40
ORD0010-15,ORD0010,P4073,3,3.68,11.04
ORD0010-16,ORD0010,P3697,1,10.38,10.38
ORD0010-17,ORD0010,P4786,2,4.08,8.16
ORD0010-18,ORD0010,P1538,1,4.62,4.62
ORD0010-19,ORD0010,P2433,1,7.42,7.42
ORD0011-1,ORD0011,P1173,1,5.26,5.26
ORD0011-2,ORD0011,P2780,1,3.40,3.40
ORD0011-3,ORD0011,P1929,1,4.67,4.67
ORD0011-4,ORD0011,P3220,1,5.11,5.11
ORD0011-5,ORD0011,P1605,1,6.57,6.57
ORD0011-6,ORD0011,P180,2,3.27,6.54
ORD0011-7,ORD0011,P3612,1,3.25,3.25
ORD0011-8,ORD0011,P2547,1,9.52,9.52
ORD0011-9,ORD0011,P3526,1,8.27,8.27
ORD0011-10,ORD0011,P1309,1,7.12,7.12
ORD0011-11,ORD0011,P3567,1,10.37,10.37
ORD0011-12,ORD0011,P503,1,5.36,5.36
ORD0011-13,ORD0011,P2880,1,9.94,9.94
ORD0011-14,ORD0011,P3778,1,3.17,3.17
ORD0012-1,ORD0012,P1879,2,3.32,6.64
ORD0012-2,ORD0012,P3412,1,6.25,6.25
ORD0012-3,ORD0012,P2590,1,9.53,9.53
ORD0012-4,ORD0012,P747,1,3.46,3.46
ORD0012-5,ORD0012,P1058,1,4.03,4.03
ORD0012-6,ORD0012,P3728,1,3.20,3.20
ORD0012-7,ORD0012,P457,2,2.34,4.68
ORD0013-1,ORD0013,P3373,1,4.87,4.87
ORD0013-2,ORD0013,P2375,1,5.41,5.41
ORD0013-3,ORD0013,P591,4,2.01,8.04
ORD0013-4,ORD0013,P3596,3,6.22,18.66
ORD0013-5,ORD0013,P2486,1,16.15,16.15
ORD0013-6,ORD0013,P653,5,1.38,6.90
ORD0013-7,ORD0013,P4389,2,3.94,7.88
ORD0013-8,ORD0013,P3035,2,10.50,21.00
ORD0014-1,ORD0014,P2106,1,12.07,12.07
ORD0014-2,ORD0014,P381,3,2.55,7.65
ORD0014-3,ORD0014,P305,1,4.26,4.26
ORD0014-4,ORD0014,P1533,3,2.82,8.46
ORD0014-5,ORD0014,P1634,1,7.11,7.11
ORD0014-6,ORD0014,P609,1,4.93,4.93
ORD0014-7,ORD0014,P062,5,2.61,13.05
ORD0014-8,ORD0014,P3221,1,9.57,9.57
ORD0014-9,ORD0014,P814,2,3.78,7.56
ORD0014-10,ORD0014,P2189,1,13.52,13.52
ORD0015-1,ORD0015,P2842,2,5.30,10.60
ORD0015-2,ORD0015,P2621,1,3.77,3.77
ORD0015-3,ORD0015,P2112,1,19.25,19.25
ORD0015-4,ORD0015,P4045,1,3.53,3.53
ORD0015-5,ORD0015,P2073,1,7.84,7.84
ORD0015-6,ORD0015,P1597,1,2.62,2.62
ORD0015-7,ORD0015,P4130,2,6.81,13.62
ORD0015-8,ORD0015,P3485,3,7.83,23.49
ORD0015-9,ORD0015,P3406,1,7.44,7.44
ORD0015-10,ORD0015,P1260,2,1.80,3.60
ORD0015-11,ORD0015,P093,2,1.31,2.62
ORD0015-12,ORD0015,P2669,3,5.67,17.01
ORD0015-13,ORD0015,P1684,2,5.12,10.24
ORD0015-14,ORD0015,P4201,1,3.25,3.25
ORD0015-15,ORD0015,P4431,3,1.09,3.27
ORD0015-16,ORD0015,P2238,1,17.81,17.81
ORD0015-17,ORD0015,P931,2,2.32,4.64
ORD0015-18,ORD0015,P3780,1,9.00,9.00
ORD0016-1,ORD0016,P3365,1,9.31,9.31
ORD0016-2,ORD0016,P1048,1,4.28,4.28
ORD0016-3,ORD0016,P496,2,2.55,5.10
ORD0016-4,ORD0016,P4816,1,9.27,9.27
ORD0016-5,ORD0016,P1745,1,5.38,5.38
ORD0016-6,ORD0016,P3512,1,5.57,5.57
ORD0017-1,ORD0017,P1747,1,6.48,6.48
ORD0017-2,ORD0017,P1194,3,2.82,8.46
ORD0017-3,ORD0017,P2628,1,4.32,4.32
ORD0017-4,ORD0017,P3829,1,8.28,8.28
ORD0017-5,ORD0017,P1891,1,3.40,3.40
ORD0017-6,ORD0017,P1107,2,2.28,4.56
ORD0017-7,ORD0017,P2797,1,3.77,3.77
ORD0018-1,ORD0018,P3685,1,10.03,10.03
ORD0018-2,ORD0018,P4165,3,1.97,5.91
ORD0018-3,ORD0018,P3119,1,9.13,9.13
ORD0018-4,ORD0018,P262,4,3.47,13.88
ORD0018-5,ORD0018,P1245,1,3.55,3.55
ORD0018-6,ORD0018,P4593,1,3.54,3.54
ORD0018-7,ORD0018,P3044,1,6.92,6.92
ORD0018-8,ORD0018,P3008,1,9.41,9.41
ORD0018-9,ORD0018,P3117,1,6.80,6.80
ORD0018-10,ORD0018,P3619,1,4.92,4.92
ORD0018-11,ORD0018,P1118,1,5.26,5.26
ORD0018-12,ORD0018,P1781,1,4.19,4.19
ORD0018-13,ORD0018,P3907,2,1.67,3.34
ORD0019-1,ORD0019,P1126,4,5.02,20.08
ORD0019-2,ORD0019,P4112,3,6.34,19.02
ORD0019-3,ORD0019,P3452,2,2.23,4.46
ORD0019-4,ORD0019,P1190,4,0.99,3.96
ORD0019-5,ORD0019,P4263,2,5.70,11.40
ORD0019-6,ORD0019,P4326,3,3.27,9.81
ORD0019-7,ORD0019,P1701,3,4.16,12.48
ORD0019-8,ORD0019,P536,3,2.96,8.88
ORD0019-9,ORD0019,P023,3,1.73,5.19
ORD0019-10,ORD0019,P4635,1,5.06,5.06
ORD0019-11,ORD0019,P2086,1,14.92,14.92
ORD0019-12,ORD0019,P2938,3,2.11,6.33
ORD0019-13,ORD0019,P4759,1,7.83,7.83
ORD0019-14,ORD0019,P4729,2,6.16,12.32
ORD0020-1,ORD0020,P252,5,2.57,12.85
ORD0020-2,ORD0020,P1194,4,2.82,11.28
ORD0020-3,ORD0020,P1393,3,2.21,6.63
ORD0020-4,ORD0020,P4133,1,6.29,6.29
ORD0020-5,ORD0020,P167,1,3.59,3.59
ORD0020-6,ORD0020,P2178,1,17.80,17.80
ORD0020-7,ORD0020,P439,1,3.22,3.22
ORD0020-8,ORD0020,P3870,1,6.35,6.35
ORD0020-9,ORD0020,P359,1,3.57,3.57
ORD0020-10,ORD0020,P4817,1,12.24,12.24
ORD0020-11,ORD0020,P572,1,4.83,4.83
ORD0021-1,ORD0021,P3131,1,8.48,8.48
ORD0021-2,ORD0021,P2034,1,5.99,5.99
ORD0021-3,ORD0021,P2039,1,7.40,7.40
ORD0021-4,ORD0021,P2636,2,2.16,4.32
ORD0021-5,ORD0021,P3378,1,8.97,8.97
ORD0021-6,ORD0021,P3682,1,7.29,7.29
ORD0021-7,ORD0021,P520,3,0.81,2.43
ORD0021-8,ORD0021,P332,1,2.63,2.63
ORD0021-9,ORD0021,P855,1,4.73,4.73
ORD0021-10,ORD0021,P906,1,3.95,3.95
ORD0021-11,ORD0021,P632,1,4.66,4.66
ORD0021-12,ORD0021,P1286,1,3.93,3.93
ORD0021-13,ORD0021,P4164,1,7.79,7.79
ORD0021-14,ORD0021,P1685,1,4.06,4.06
ORD0021-15,ORD0021,P3537,1,7.95,7.95
ORD0021-16,ORD0021,P4528,1,5.31,5.31
ORD0022-1,ORD0022,P3260,1,7.95,7.95
ORD0022-2,ORD0022,P4578,1,9.82,9.82
ORD0022-3,ORD0022,P2515,1,8.48,8.48
ORD0022-4,ORD0022,P4409,1,7.99,7.99
ORD0022-5,ORD0022,P2155,1,6.03,6.03
ORD0022-6,ORD0022,P1924,1,5.10,5.10
ORD0022-7,ORD0022,P1770,1,4.47,4.47
ORD0022-8,ORD0022,P250,4,2.08,8.32
ORD0022-9,ORD0022,P1175,4,2.60,10.40
ORD0022-10,ORD0022,P631,1,3.44,3.44
ORD0022-11,ORD0022,P2125,1,7.49,7.49
ORD0022-12,ORD0022,P3435,3,3.09,9.27
ORD0023-1,ORD0023,P678,1,4.04,4.04
ORD0023-2,ORD0023,P2070,1,4.85,4.85
ORD0023-3,ORD0023,P169,4,2.10,8.40
ORD0023-4,ORD0023,P3404,1,4.30,4.30
ORD0023-5,ORD0023,P1962,1,7.46,7.46
ORD0023-6,ORD0023,P3456,1,2.89,2.89
ORD0023-7,ORD0023,P1909,2,1.03,2.06
ORD0023-8,ORD0023,P276,1,4.21,4.21
ORD0024-1,ORD0024,P1272,1,4.66,4.66
ORD0024-2,ORD0024,P1451,1,4.60,4.60
ORD0024-3,ORD0024,P2071,1,5.75,5.75
ORD0024-4,ORD0024,P290,4,1.92,7.68
ORD0024-5,ORD0024,P2246,1,18.87,18.87
ORD0024-6,ORD0024,P440,3,0.89,2.67
ORD0024-7,ORD0024,P1447,1,5.63,5.63
ORD0024-8,ORD0024,P123,1,4.50,4.50
ORD0024-9,ORD0024,P1802,2,3.22,6.44
ORD0024-10,ORD0024,P650,6,1.15,6.90
ORD0024-11,ORD0024,P1392,2,1.97,3.94
ORD0024-12,ORD0024,P4697,1,3.99,3.99
ORD0024-13,ORD0024,P1791,1,4.56,4.56
ORD0024-14,ORD0024,P782,4,1.67,6.68
ORD0025-1,ORD0025,P411,1,5.28,5.28
ORD0025-2,ORD0025,P875,2,2.59,5.18
ORD0025-3,ORD0025,P4322,1,4.05,4.05
ORD0025-4,ORD0025,P3347,1,5.48,5.48
ORD0025-5,ORD0025,P1277,1,7.04,7.04
ORD0025-6,ORD0025,P2863,1,8.72,8.72
ORD0025-7,ORD0025,P1540,2,1.37,2.74
ORD0026-1,ORD0026,P340,2,2.59,5.18
ORD0026-2,ORD0026,P607,1,4.02,4.02
ORD0026-3,ORD0026,P4320,1,6.72,6.72
ORD0026-4,ORD0026,P2920,1,7.64,7.64
ORD0026-5,ORD0026,P2265,1,6.32,6.32
ORD0026-6,ORD0026,P1829,1,4.42,4.42
ORD0026-7,ORD0026,P957,1,4.77,4.77
ORD0026-8,ORD0026,P2002,1,12.98,12.98
ORD0026-9,ORD0026,P2304,1,10.41,10.41
ORD0026-10,ORD0026,P4248,1,1.73,1.73
ORD0026-11,ORD0026,P4138,1,5.02,5.02
ORD0026-12,ORD0026,P1142,1,3.89,3.89
ORD0026-13,ORD0026,P274,4,2.32,9.28
ORD0026-14,ORD0026,P117,2,3.33,6.66
ORD0027-1,ORD0027,P1586,2,2.46,4.92
ORD0027-2,ORD0027,P4789,2,11.38,22.76
ORD0027-3,ORD0027,P3249,1,9.12,9.12
ORD0027-4,ORD0027,P3461,1,1.03,1.03
ORD0027-5,ORD0027,P1367,3,2.39,7.17
ORD0027-6,ORD0027,P440,5,0.89,4.45
ORD0027-7,ORD0027,P1422,3,3.37,10.11
ORD0027-8,ORD0027,P1532,2,1.93,3.86
ORD0027-9,ORD0027,P4656,2,4.42,8.84
ORD0027-10,ORD0027,P1656,1,7.10,7.10
ORD0027-11,ORD0027,P1668,2,3.44,6.88
ORD0028-1,ORD0028,P1462,1,6.57,6.57
ORD0028-2,ORD0028,P4086,1,7.96,7.96
ORD0028-3,ORD0028,P657,3,0.91,2.73
ORD0028-4,ORD0028,P4579,1,6.27,6.27
ORD0028-5,ORD0028,P3187,1,4.65,4.65
ORD0028-6,ORD0028,P600,3,1.89,5.67
ORD0028-7,ORD0028,P2181,1,15.72,15.72
ORD0028-8,ORD0028,P275,6,1.01,6.06
ORD0028-9,ORD0028,P1562,1,6.82,6.82
ORD0028-10,ORD0028,P209,5,4.11,20.55
ORD0028-11,ORD0028,P866,1,4.22,4.22
ORD0028-12,ORD0028,P4122,1,1.17,1.17
ORD0029-1,ORD0029,P3719,2,1.86,3.72
ORD0029-2,ORD0029,P1563,1,7.20,7.20
ORD0029-3,ORD0029,P2245,1,8.50,8.50
ORD0029-4,ORD0029,P1777,2,2.22,4.44
ORD0029-5,ORD0029,P154,1,5.42,5.42
ORD0029-6,ORD0029,P935,5,1.60,8.00
ORD0030-1,ORD0030,P845,2,2.48,4.96
ORD0030-2,ORD0030,P3941,1,4.97,4.97
ORD0030-3,ORD0030,P4160,1,4.59,4.59
ORD0030-4,ORD0030,P078,1,5.71,5.71
ORD0030-5,ORD0030,P2135,1,6.21,6.21
ORD0030-6,ORD0030,P2780,2,3.40,6.80
ORD0030-7,ORD0030,P1336,1,4.12,4.12
ORD0030-8,ORD0030,P3575,2,3.63,7.26
ORD0030-9,ORD0030,P373,3,2.03,6.09
ORD0030-10,ORD0030,P1840,1,7.15,7.15
ORD0030-11,ORD0030,P2290,1,4.58,4.58
ORD0030-12,ORD0030,P3299,1,7.03,7.03
ORD0030-13,ORD0030,P437,3,1.63,4.89
ORD0030-14,ORD0030,P715,1,4.63,4.63
ORD0030-15,ORD0030,P519,3,3.48,10.44
ORD0031-1,ORD0031,P1984,1,5.75,5.75
ORD0031-2,ORD0031,P1251,1,7.77,7.77
ORD0031-3,ORD0031,P2986,1,5.99,5.99
ORD0031-4,ORD0031,P1868,2,2.54,5.08
ORD0031-5,ORD0031,P2604,1,9.61,9.61
ORD0031-6,ORD0031,P438,4,2.13,8.52
ORD0031-7,ORD0031,P2661,1,4.37,4.37
ORD0031-8,ORD0031,P2139,1,15.31,15.31
ORD0031-9,ORD0031,P3423,2,4.34,8.68
ORD0031-10,ORD0031,P3862,1,8.28,8.28
ORD0031-11,ORD0031,P1651,3,1.74,5.22
